"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/05/2025","141,70","143,80","143,80","141,70","0,19K","0,50%"
"15/05/2025","141,00","143,85","144,00","141,00","12,05K","0,00%"
"14/05/2025","141,00","141,00","145,00","140,00","53,68K","-2,76%"
"13/05/2025","145,00","142,00","145,00","142,00","2,09K","0,00%"
"12/05/2025","145,00","141,00","145,00","137,00","26,26K","3,57%"
"09/05/2025","140,00","139,00","140,00","135,00","31,82K","0,79%"
"08/05/2025","138,90","139,00","139,00","136,10","35,94K","-0,79%"
"07/05/2025","140,00","140,00","142,00","136,80","56,45K","-1,34%"
"06/05/2025","141,90","135,00","144,00","135,00","16,53K","5,11%"
"05/05/2025","135,00","135,00","135,00","135,00","1,13K","0,00%"
"02/05/2025","135,00","131,00","136,00","131,00","24,70K","3,05%"
"30/04/2025","131,00","131,00","133,50","131,00","27,87K","-0,76%"
"29/04/2025","132,00","131,00","133,80","131,00","0,17K","-1,20%"
"28/04/2025","133,60","134,00","134,00","130,25","0,68K","-0,30%"
"25/04/2025","134,00","133,00","134,00","131,00","19,71K","2,29%"
"24/04/2025","131,00","132,75","132,75","130,15","12,53K","0,65%"
"23/04/2025","130,15","130,20","133,85","130,00","155,39K","0,12%"
"22/04/2025","130,00","130,00","134,00","130,00","26,73K","-0,08%"
"21/04/2025","130,10","134,95","134,95","130,05","52,48K","-1,81%"
"18/04/2025","132,50","130,55","135,00","130,55","25,63K","-0,19%"
"17/04/2025","132,75","132,70","132,75","130,00","23,16K","2,31%"
"16/04/2025","129,75","132,00","132,90","129,60","23,51K","0,58%"
"15/04/2025","129,00","129,95","134,00","126,60","48,78K","-0,54%"
"14/04/2025","129,70","126,50","129,70","125,50","4,71K","5,45%"
"11/04/2025","123,00","130,00","130,00","123,00","32,68K","-3,91%"
"10/04/2025","128,00","134,00","134,00","128,00","63,56K","1,19%"
"09/04/2025","126,50","130,00","130,00","124,00","51,68K","-2,62%"
"08/04/2025","129,90","130,00","130,00","126,55","11,77K","5,44%"
"07/04/2025","123,20","132,00","132,00","123,20","24,50K","-8,13%"
"04/04/2025","134,10","138,00","138,00","133,50","10,23K","-0,67%"
"03/04/2025","135,00","139,50","139,50","135,00","21,62K","-2,17%"
"02/04/2025","138,00","138,95","139,95","137,50","5,11K","-0,72%"
"28/03/2025","139,00","139,90","142,95","138,00","85,61K","0,00%"
"27/03/2025","139,00","136,30","139,90","136,30","10,59K","0,72%"
"26/03/2025","138,00","141,00","141,00","138,00","5,14K","-1,43%"
"25/03/2025","140,00","139,20","142,00","139,00","7,71K","0,72%"
"24/03/2025","139,00","144,00","144,85","139,00","36,80K","-1,42%"
"21/03/2025","141,00","144,00","145,00","141,00","65,35K","-2,08%"
"20/03/2025","144,00","141,00","144,00","140,50","12,51K","1,41%"
"19/03/2025","142,00","142,00","142,00","140,00","93,19K","0,00%"
"18/03/2025","142,00","139,00","142,00","136,00","3,19K","1,79%"
"17/03/2025","139,50","138,30","140,00","135,00","5,21K","-0,32%"
"14/03/2025","139,95","140,60","141,05","139,95","132,40K","-0,04%"
"13/03/2025","140,00","143,75","147,00","140,00","12,43K","-2,78%"
"12/03/2025","144,00","148,90","148,90","144,00","2,30K","-1,37%"
"11/03/2025","146,00","149,80","149,80","145,00","0,72K","-1,18%"
"10/03/2025","147,75","145,40","150,00","145,40","3,77K","-1,50%"
"07/03/2025","150,00","142,20","155,00","142,20","18,81K","3,45%"
"06/03/2025","145,00","148,00","150,90","145,00","7,89K","-1,76%"
"05/03/2025","147,60","148,20","150,00","147,60","1,56K","-0,20%"
"04/03/2025","147,90","149,20","153,00","147,90","3,14K","-1,07%"
"03/03/2025","149,50","148,55","151,00","148,55","1,89K","-2,22%"
"28/02/2025","152,90","153,00","153,05","147,00","12,43K","-0,20%"
"27/02/2025","153,20","153,20","157,00","153,00","2,71K","-2,36%"
"26/02/2025","156,90","155,00","158,00","155,00","7,66K","1,29%"
"25/02/2025","154,90","154,05","155,00","154,05","2,31K","0,13%"
"24/02/2025","154,70","154,90","154,90","152,90","7,26K","0,52%"
"21/02/2025","153,90","155,00","155,00","153,10","10,50K","-2,59%"
"20/02/2025","158,00","156,00","158,00","153,00","65,11K","1,28%"
"19/02/2025","156,00","155,95","158,00","154,00","26,57K","0,65%"
"18/02/2025","155,00","154,00","155,00","153,00","3,90K","-0,64%"
"17/02/2025","156,00","156,90","156,90","154,00","1,64K","4,00%"
"14/02/2025","150,00","159,95","159,95","150,00","36,82K","-3,01%"
"13/02/2025","154,65","155,20","164,00","154,65","11,34K","-0,23%"
"12/02/2025","155,00","157,00","157,00","154,75","15,19K","-0,16%"
"11/02/2025","155,25","156,20","158,80","155,25","11,22K","-2,36%"
"10/02/2025","159,00","156,00","159,00","156,00","6,09K","1,92%"
"07/02/2025","156,00","159,00","159,00","155,00","42,54K","1,63%"
"06/02/2025","153,50","153,00","154,50","153,00","27,37K","0,49%"
"05/02/2025","152,75","152,70","155,00","152,70","21,79K","0,07%"
"04/02/2025","152,65","158,95","158,95","152,20","18,18K","-0,88%"
"03/02/2025","154,00","158,95","158,95","154,00","2,02K","-0,96%"
"31/01/2025","155,50","159,90","159,90","154,00","65,58K","-2,14%"
"30/01/2025","158,90","161,00","161,00","154,00","26,44K","-0,19%"
"29/01/2025","159,20","162,00","163,50","156,00","2,93K","-1,67%"
"28/01/2025","161,90","167,40","169,45","157,00","26,83K","-3,52%"
"27/01/2025","167,80","168,50","168,50","165,00","14,42K","1,70%"
"24/01/2025","165,00","165,00","170,00","164,00","38,93K","3,13%"
"23/01/2025","160,00","155,00","160,00","155,00","173,24K","3,29%"
"22/01/2025","154,90","154,95","155,00","152,05","12,02K","1,87%"
"21/01/2025","152,05","154,60","158,00","152,00","66,49K","-0,94%"
"20/01/2025","153,50","150,00","154,90","149,00","150,29K","3,58%"
"17/01/2025","148,20","142,00","154,45","142,00","50,22K","5,11%"
"16/01/2025","141,00","144,00","145,00","139,70","27,79K","-1,40%"
"15/01/2025","143,00","132,20","145,15","132,00","87,65K","8,33%"
"13/01/2025","132,00","134,70","134,70","131,00","60,24K","-0,75%"
"10/01/2025","133,00","134,90","134,90","131,10","49,69K","1,10%"
"09/01/2025","131,55","129,50","134,00","129,50","10,14K","1,19%"
"08/01/2025","130,00","127,80","131,85","127,80","0,83K","1,48%"
"07/01/2025","128,10","130,00","132,00","128,05","0,39K","0,08%"
"06/01/2025","128,00","128,00","130,00","128,00","47,11K","-1,54%"
"03/01/2025","130,00","128,85","130,95","125,70","49,09K","3,75%"
"02/01/2025","125,30","129,00","130,00","125,30","1,24K","-1,73%"
"31/12/2024","127,50","128,90","129,95","127,50","0,44K","2,00%"
"27/12/2024","125,00","128,00","131,40","125,00","7,59K","-2,15%"
"26/12/2024","127,75","128,30","128,30","127,75","19,32K","-1,73%"
"25/12/2024","130,00","128,25","130,00","128,20","0,05K","1,17%"
"24/12/2024","128,50","130,00","130,00","128,00","5,27K","0,39%"
"23/12/2024","128,00","130,00","131,70","128,00","3,25K","0,00%"
"20/12/2024","128,00","131,00","131,00","128,00","3,42K","-1,54%"
"19/12/2024","130,00","129,15","130,00","128,50","0,53K","0,00%"
"18/12/2024","130,00","131,00","131,00","128,85","0,10K","-0,76%"
"17/12/2024","131,00","129,20","131,00","128,55","8,32K","0,00%"
"16/12/2024","131,00","131,50","131,50","129,20","0,15K","1,55%"
"13/12/2024","129,00","131,95","131,95","129,00","0,10K","0,00%"
"12/12/2024","129,00","128,70","132,00","128,70","2,09K","0,39%"
"11/12/2024","128,50","128,60","132,00","128,35","8,50K","-2,58%"
"10/12/2024","131,90","130,00","131,90","130,00","8,60K","1,85%"
"09/12/2024","129,50","128,30","129,50","128,30","16,58K","-1,67%"
"06/12/2024","131,70","127,20","132,00","127,20","2,06K","-0,23%"
"05/12/2024","132,00","129,90","132,00","127,75","4,14K","1,93%"
"04/12/2024","129,50","129,95","129,95","127,10","0,50K","1,17%"
"03/12/2024","128,00","130,00","130,00","128,00","8,17K","-0,27%"
"02/12/2024","128,35","129,00","130,95","128,35","1,09K","-1,31%"
"29/11/2024","130,05","130,90","130,90","129,50","28,50K","1,13%"
"28/11/2024","128,60","130,90","130,90","128,50","0,16K","-1,08%"
"27/11/2024","130,00","130,00","130,00","128,80","0,71K","1,17%"
"26/11/2024","128,50","129,20","131,00","128,50","0,66K","-1,91%"
"25/11/2024","131,00","131,60","131,60","131,00","0,06K","2,34%"
"22/11/2024","128,00","130,00","132,00","128,00","6,54K","1,19%"
"21/11/2024","126,50","132,00","132,00","126,50","3,99K","-2,92%"
"20/11/2024","130,30","132,00","132,00","130,30","0,02K","-0,91%"
"19/11/2024","131,50","133,90","133,90","131,50","0,09K","1,15%"
"15/11/2024","130,00","131,55","131,95","130,00","15,07K","-1,52%"
"14/11/2024","132,00","130,00","134,40","130,00","10,62K","1,54%"
"13/11/2024","130,00","130,00","132,00","129,50","2,15K","0,00%"
"12/11/2024","130,00","130,00","132,90","129,20","6,29K","0,00%"
"11/11/2024","130,00","132,95","132,95","130,00","3,28K","0,00%"
"08/11/2024","130,00","130,00","132,50","130,00","96,51K","-1,48%"
"07/11/2024","131,95","131,95","131,95","130,00","29,71K","2,29%"
"05/11/2024","129,00","129,05","129,10","127,00","0,42K","0,00%"
"04/11/2024","129,00","130,00","131,00","129,00","3,75K","-0,08%"
"01/11/2024","129,10","129,50","130,00","129,00","0,15K","-0,69%"
"31/10/2024","130,00","132,70","132,70","130,00","6,29K","-0,76%"
"30/10/2024","131,00","134,95","135,40","131,00","2,53K","-1,50%"
"29/10/2024","133,00","131,60","133,00","131,60","0,51K","0,95%"
"28/10/2024","131,75","132,00","132,00","131,75","1,20K","-1,68%"
"25/10/2024","134,00","134,00","134,00","134,00","0,50K","1,40%"
"24/10/2024","132,15","136,00","136,00","132,15","0,02K","-3,43%"
"23/10/2024","136,85","131,65","136,85","131,65","0,02K","-0,80%"
"22/10/2024","137,95","131,60","137,95","131,60","0,03K","-0,14%"
"18/10/2024","138,15","134,90","138,15","133,00","0,05K","-0,61%"
"17/10/2024","139,00","131,90","139,00","131,90","1,52K","6,84%"
"16/10/2024","130,10","132,00","132,00","130,10","7,11K","-0,69%"
"15/10/2024","131,00","131,05","131,05","131,00","0,93K","0,61%"
"14/10/2024","130,20","132,00","132,00","130,20","0,72K","0,00%"
"11/10/2024","130,20","130,20","130,25","130,20","0,28K","-0,61%"
"10/10/2024","131,00","130,35","131,00","130,25","0,95K","-0,76%"
"09/10/2024","132,00","132,00","133,45","132,00","0,23K","1,34%"
"08/10/2024","130,25","130,50","132,95","130,20","0,64K","-0,04%"
"07/10/2024","130,30","130,20","133,60","130,10","0,58K","0,08%"
"04/10/2024","130,20","131,30","134,00","130,20","8,79K","-0,84%"
"03/10/2024","131,30","131,15","132,00","131,05","0,41K","-2,74%"
"02/10/2024","135,00","138,90","138,90","132,00","7,66K","-2,84%"
"01/10/2024","138,95","139,05","139,90","138,95","0,16K","-0,71%"
"30/09/2024","139,95","136,00","140,10","133,50","4,49K","-0,11%"
"27/09/2024","140,10","131,00","140,10","130,30","28,22K","5,34%"
"26/09/2024","133,00","130,50","135,00","130,00","193,46K","-0,75%"
"25/09/2024","134,00","134,50","134,50","130,00","4,08K","0,37%"
"24/09/2024","133,50","135,00","135,00","132,00","0,45K","-1,11%"
"23/09/2024","135,00","134,70","135,00","131,00","20,62K","4,49%"
"20/09/2024","129,20","134,00","134,95","129,20","10,33K","-3,58%"
"19/09/2024","134,00","130,00","134,90","129,00","45,63K","2,29%"
"18/09/2024","131,00","131,00","131,00","129,55","0,03K","0,00%"
"13/09/2024","131,00","131,20","131,20","129,50","6,49K","1,55%"
"11/09/2024","129,00","132,00","132,00","129,00","0,06K","2,71%"
"10/09/2024","125,60","134,40","134,40","125,60","20,36K","-4,30%"
"09/09/2024","131,25","134,50","134,50","131,05","0,04K","-2,34%"
"06/09/2024","134,40","129,80","134,40","129,80","1,71K","1,97%"
"05/09/2024","131,80","129,10","131,80","129,10","0,06K","1,58%"
"04/09/2024","129,75","131,95","131,95","129,75","0,24K","-0,95%"
"03/09/2024","131,00","131,15","131,15","129,00","33,25K","0,00%"
"02/09/2024","131,00","132,00","132,00","131,00","11,78K","-0,76%"
"30/08/2024","132,00","133,00","133,00","131,00","3,70K","0,53%"
"29/08/2024","131,30","132,60","134,00","131,30","0,60K","-0,98%"
"28/08/2024","132,60","132,50","134,00","132,50","0,61K","-1,04%"
"27/08/2024","134,00","132,00","134,00","132,00","27,07K","0,00%"
"26/08/2024","134,00","134,00","134,00","134,00","0,40K","0,00%"
"23/08/2024","134,00","132,50","135,00","131,00","7,38K","2,29%"
"22/08/2024","131,00","130,00","132,90","130,00","1,39K","0,77%"
"19/08/2024","130,00","128,00","130,00","128,00","2,80K","0,00%"
"16/08/2024","130,00","130,10","131,00","130,00","9,53K","0,00%"
"15/08/2024","130,00","128,25","130,95","128,25","25,10K","-0,76%"
"13/08/2024","131,00","131,00","131,00","128,00","3,70K","0,00%"
